data_inicio,ano,mes,data_fim,ano_pmo,mes_pmo,numero_revisao,semana_operativa,id_modelo_usina,id_subsistema,subsistema,usina,custo_variavel_unitario
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,212,N,NORTE,MARANHAO3,94.86
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,239,N,NORTE,PARNAIBA_V,104.85
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,140,N,NORTE,UTE MAUA 3,237.89
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,436,N,NORTE,MARANIVL22,516.13
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,204,N,NORTE,JARAQUI,0
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,207,N,NORTE,PONTA NEGR,0
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,203,N,NORTE,C. ROCHA,0
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,447,N,NORTE,N.VEN2_L7,257.06
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,437,N,NORTE,MARANIVL_7,516.12
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,422,N,NORTE,MARAN_VL_7,516.12
2022-01-29,2022,1,2022-02-04,2022,1,0,PMO Fevereiro 2022,421,N,NORTE,MARAN_VL22,260.05
2022-01-29,2022,1,2022-02-04,2022,1,0,PMO Fevereiro 2022,73,N,NORTE,GERAMAR1,1082.93
2022-01-29,2022,1,2022-02-04,2022,1,0,PMO Fevereiro 2022,207,N,NORTE,PONTA NEGR,0
2022-01-29,2022,1,2022-02-04,2022,1,0,PMO Fevereiro 2022,437,N,NORTE,MARANIVL_7,260.04
2022-01-29,2022,1,2022-02-04,2022,1,0,PMO Fevereiro 2022,209,N,NORTE,TAMBAQUI,0
